Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description
1,"Grand Central Terminal, Park Avenue, New York is the world's",largest railway station,highest railway station,longest railway station,None of the above,A," For more details, Refer:
http://en.wikipedia.org/wiki/Grand_Central_Terminal "
2,Entomology is the science that studies,Behavior of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks,B, Entomology: The branch of zoology concerned with the study of insects. 
3,"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Asia,Africa,Europe,Australia,B,-
3,Garampani sanctuary is located at,"Junagarh, Gujarat","Diphu, Assam","Kohima, Nagaland","Gangtok, Sikkim",B,-
1,For which of the following disciplines is Nobel Prize awarded?,Physics and Chemistry,Physiology or Medicine,"Literature, Peace and Economics",All of the above,D,-
1,Hitler party which came into power in 1933 is known as,Labour Party,Nazi Party,Ku-Klux-Klan,Democratic Party,B,-
2,FFC stands for,Foreign Finance Corporation,Film Finance Corporation,Federation of Football Council,None of the above,B,-
2,Fastest shorthand writer was,Dr. G.  D. Bist,J.R.D. Tata,J.M. Tagore,Khudada Khan,A,-
3,Epsom (England) is the place associated with,Horse racing,Polo,Shooting,Snooker,A,-
1,"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky, was conducted in",1967,1968,1958,1922,A," Louis Washkansky (1913 - 21 December 1967) was the recipient of the world's first human heart transplant.
Washkansky died of double pneumonia eighteen days after the transplant because of a weakened immune system. "
3,Galileo was an Italian astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,D,-
1,Habeas Corpus Act 1679,states that no one was to be imprisoned without a writ or warrant stating the charge against him,provided facilities to a prisoner to obtain either speedy trial or release in bail,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,D,-
3,Exposure to sunlight helps a person improve his health because,the infrared light kills bacteria in the body,resistance power increases,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D,D,-
1,Golf player Vijay Singh belongs to which country?,USA,Fiji,India,UK,B,-
3,"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as",Letter of Credit (L/C),laissezfaire,inflation,None of the above,A,-
1,First Afghan War took place in,1839,1843,1833,1848,A,-
1,Gulf cooperation council was originally formed by,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates",Second World Nations,Third World Nations,Fourth World Nations,A," Gulf cooperation council was created on May 25, 1981, the 630-million-acre (2,500,000 km2) Council comprises the Persian Gulf states of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and the United Arab Emirates.
The unified economic agreement between the countries of the Gulf Cooperation Council was signed on November 11, 1981 in Abu Dhabi. These countries are often referred to as The GCC States. "
3,First China War was fought between,China and Britain,China and France,China and Egypt,China and Greek,A,-
1,Dumping is,selling of goods abroad at a price well below the production cost at the home market price,"the process by which the supply of a manufacture's product remains low in the domestic market, which batches him better price",prohibited by regulations of GATT,All of the above,D," Dumping is a term that is used in financial markets as well as in international trade. In the context of buying and selling securities, dumping refers to the practice of selling large blocks of securities. More specifically, when dumping securities the seller is primarily interested in getting rid of the securities at any price. One simply dumps, or unloads, on the market with no regard to the selling price of the securities.

Dumping is also used in a commercial sense in the context of international trade. It refers to the practice of one country selling commodities or finished products in another country below cost or fair market value. Predatory dumping occurs when one nation exports goods to another nation below cost or fair market value in order to obtain market share at the expense of domestic competitors. In many cases, predatory dumping drives out domestic competition. Then, having established a dominant marketing position in the industry, the predatory dumpers raise their prices well above previous levels.

Many nations, including the United States, have enacted antidumping laws that provide for the imposition of antidumping penalties or tariffs when a case of dumping can be proven. Following the Uruguay Round of Multilateral Trade Negotiations in 1993, the General Agreement on Tariffs and Trade (GATT) contained provisions to standardize antidumping measures by different nations. Antidumping measures affect not only the practice of dumping goods into the U.S. market, they also affect the ability of U.S. companies to export goods to other countries at competitive prices. "
1,"For the Olympics and World Tournaments, the dimensions of basketball court are",26 m x 14 m,28 m x 15 m,27 m x 16 m,28 m x 16 m,B,-
3,"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of",Tennis,Volleyball,Basketball,Cricket,B,-
1,Each year World Red Cross and Red Crescent Day is celebrated on,May 8,May 18,June 8,June 18,A,-
1,Famous sculptures depicting art of love built some time in 950 AD � 1050 AD are,Khajuraho temples,Jama Masjid,Sun temple,Mahabalipuram temples,A,-
3,Gravity setting chambers are used in industries to remove,SOx,NOx,suspended particulate matter,CO,C,-
2,Guwahati High Court is the judicature of,Nagaland,Arunachal Pradesh,Assam,All of the above,D,-
3,Friction can be reduced by changing from,sliding to rolling,rolling to sliding,potential energy to kinetic energy,dynamic to static,A,-
3,During eleventh Antarctic Expedition in Nov. 1991/March 1992 ____ was installed.,SODAR (SOnic Detection And Ranging),Second Permanent Station 'Maitree',First permanent station 'Dakshin Gangotri',None of the above,A," SODAR (SOnic Detection And Ranging), also written as sodar, is a meteorological instrument also known as a wind profiler which measures the scattering of sound waves by atmospheric turbulence. "
3,"From the following, choose the set in which names of Secretary-Generals of the UNO are arranged in correct chronological order?","U Thant, Kurt Waldheim, Dag Hammarskjoeld, Trygve Lie.","Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim.","Trygve Lie, U Thant , Dag Hammarskjoeld, Kurt Waldheim.","U Thant, Dag Hammarskjoeld, Trygve Lie, Kurt Waldheim.",B,-
2,Fire temple is the place of worship of which of the following religion?,Taoism,Judaism,Zoroastrianism (Parsi Religion),Shintoism,C,-
3,Film and TV institute of India is located at,Pune (Maharashtra),Rajkot (Gujarat),Pimpri (Maharashtra),Perambur (Tamilnadu),A,-
3,"Georgia, Uzbekistan and Turkmenistan became the members of UNO in",1991,1992,1993,1994,B,-
3,Guru Gobind Singh was,the 10th Guru of the Sikhs,"founder of Khalsa, the inner council of the Sikhs in 1699",author of Dasam Granth,All the above,D, Guru Gobind Singh (1666-1708). The 10th Guru of the Sikhs who founded the Khalsa the inner council of the Sikhs in 1699. He is said to be the author of Dasam Granth. 
3,Hermann Scheer (Germany) received right Livelihood Award in 1999 for,his indefatigable work for thepromotion of solar energy worldwide,his long standing efforts to end the impunity of dictators,showing that organic agriculture is a key to both environmental sustainability and food security,None of the above,A,-
2,Germany signed the Armistice Treaty on ____ and World War I ended,"January 19, 1918","May 30, 1918","November 11, 1918","February 15, 1918",C,-
2,"During World War II, when did Germany attack France?",1940,1941,1942,1943,A,-
