Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description,
3,Which of the following languages is more suited to a structured program?,PL/1,FORTRAN,BASIC,PASCAL,D,-,
3,A computer assisted method for the recording and analyzing of existing or hypothetical systems is,Data transmission,Data flow,Data capture,Data processing,B,-,
3,The brain of any computer system is,ALU,Memory,CPU,Control unit,C,-,
2,What difference does the 5th generation computer have from other generation computers?,Technological advancement,Scientific code,Object Oriented Programming,All of the above,A,-,
1,Which of the following computer language is used for artificial intelligence?,FORTRAN,PROLOG,C,COBOL,B,Prolog is a general purpose logic programming language associated with artificial intelligence and computational linguistics. ,
3,The tracks on a disk which can be accessed without repositioning the R/W heads is,Surface,Cylinder,Cluster,All of the above,B,-,
2,Which of the following is the 1's complement of 10?,1,110,11,10,A,-,
3,A section of code to which control is transferred when a processor is interrupted is known as,M,SVC,IP,MDR,A,-,
1,Which part interprets program instructions and initiate control operations.,Input,Storage unit,Logic unit,Control unit,D,-,
3,The binary system uses powers of,2,10,8,16,A,-,
1,A computer program that converts assembly language to machine language is,Compiler,Interpreter,Assembler,Comparator,C,-,
3,The time required for the fetching and execution of one simple machine instruction is,Delay time,CPU cycle,Real time,Seek time,B,-,
2,The time for which a piece of equipment operates is called,Seek time,Effective time,Access time,Real time,B,-,
2,Binary numbers need more places for counting because,They are always big numbers,Any no. of 0's can be added in front of them,Binary base is small,0's and l's have to be properly spaced apart,C,-,
1,Which access method is used for obtaining a record from a cassette tape?,Direct,Sequential,Random,All of the above,B,-,
2,Any type of storage that is used for holding information between steps in its processing is,CPU,Primary storage,Intermediate storage,Internal storage,C,-,
1,A name applied by Intel corp. to high speed MOS technology is called,HDLC,LAP,HMOS,SDLC,C,-,
2,A program component that allows structuring of a program in an unusual way is known as,Correlation,Coroutine,Diagonalization,Quene,B,-,
2,The radian of a number system,Is variable,Has nothing to do  with  digit position value,Equals the number of its distinct counting digits,Is always an even number,C,-,
3,"The section of the CPU that selects, interprets and sees to the execution of program instructions",Memory,Register unit,Control unit,ALU,C,-,
2,Which type of system puts the user into direct conversation with the computer through a keyboard?,Real time processing,Interactive computer,Batch processing,Time sharing,B,-,
2,The term referring to evacuating the content of some part of the machine is known as,Dump,Enhancement,Down,Compiler,A,-,
3,A single packet on a data link is known as,Path,Frame,Block,Group,B,-,
1,The process of communicating with a file from a terminal is,Interactive,Interrogation,Heuristic,All of the above,B,-,
3,A common boundary between two systems is called,Interdiction,Interface,Surface,None of the above,B,-,
2,The examination and changing of single bits or small groups of his within a word is called,Bit,Byte,Bit manipulation,Bit slice,C,-,
3,Which computer has been designed to be as compact as possible?,Mini,Super computer,Micro computer,Mainframe,C,-,
3,Which method is used to connect a remote computer?,Device,Dialup,Diagnostic,Logic circuit,B,-,
2,How many bit code is used by Murray code for TELEPRINTER machines.,4,5,9,25,B,-,
2,The symbols used in an assembly language are,Codes,Mnemonics,Assembler,All of the above,B,-,
2,The 2's complement of a binary no. is obtained by adding.....to its 1's complement.,0,1,10,12,B,-,
3,A systems programming language for microcomputers in the Intel family is,PL/C,PL/CT,PL/M,PLA,C,-,
1,A datum that indicates some important state in the content of input or output is,Sequence,Sentinel,SIO,Sibling,B,-,
